_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
66f305ff66c51bbe141d998b,true,33.09,92.37,40.63,66.31,202;8;1;1,words,50,-1,2,73.25,0,12.15,false,false,english,none,normal,false,false,false,,1727202815000
66f3058666c51bbe141d9129,true,33.07,95.65,37.44,61.91,121;3;0;0,words,25,-1,1,43.91,0,27.33,false,false,english,none,normal,false,false,false,,1727202694000
66f304ea66c51bbe141d8594,,25.27,93.28,29.77,54.28,101;4;0;0,words,25,-1,0,47.96,2,0,false,false,english,none,normal,false,false,false,,1727202538000
66f304b666c51bbe141d81ca,,17.27,81.4,32.29,54.25,69;12;1;0,words,25,-1,1,47.94,2,17.61,false,false,english,none,normal,false,false,false,,1727202486000
66f3044566c51bbe141d7969,,21.49,92.36,28.19,53.5,109;5;0;1,words,25,-1,0,60.88,3,52.8,false,false,english,none,normal,false,false,false,,1727202373000
66f303c266c51bbe141d6f3d,,15.27,83.1,30.54,53.97,71;11;1;2,words,25,-1,0,55.79,3,0,false,false,english,none,normal,false,false,false,,1727202242000
66f3015466c51bbe141d41c6,,17.7,83.61,33.22,58.43,65;10;0;0,words,25,-1,1,44.07,1,62.82,false,false,english,none,normal,false,false,false,,1727201620000
66f300e266c51bbe141d3955,,22.97,86.18,34.03,65.41,83;10;0;1,words,25,-1,0,43.37,0,0,false,false,english,none,normal,false,false,false,,1727201506000
66f068df66c51bbe14fd6007,,26.64,91.2,35.05,56.87,95;5;0;1,words,25,-1,3,42.8,2,18.13,false,false,english,none,normal,false,false,false,,1727031519000
66f0689666c51bbe14fd5d12,,15.8,80.8,30.61,47.17,64;12;1;1,words,25,-1,0,48.61,5,0,false,false,english,none,normal,false,false,false,,1727031446000
66f0540a66c51bbe14fc77e0,,19.23,84.67,32.53,55.32,81;12;0;0,words,25,-1,0,50.54,1,0,false,false,english,none,normal,false,false,false,,1727026186000
66f053b366c51bbe14fc741a,,18.34,80,33.21,54.54,74;16;1;0,words,25,-1,0,48.42,2,0,false,false,english,none,normal,false,false,false,,1727026099000
66efe78b66c51bbe14f7c523,,22.07,81.68,37.54,63.83,77;15;0;1,words,25,-1,0,41.87,0,0,false,false,english,none,normal,false,false,false,,1726998411000
66ef232c66c51bbe14f1c820,,21.44,78.23,38.18,54.67,82;18;4;2,words,25,-1,0,45.89,1,0,false,false,english,none,normal,false,false,false,,1726948140000
66ef144a66c51bbe14f13bc4,,17.15,84.33,27.35,42.69,84;13;0;0,words,25,-1,0,58.79,5,0,false,false,english,none,normal,false,false,false,,1726944330000
66ef06ba66c51bbe14f0aab2,,28.14,89.58,37.17,57.24,109;9;0;1,words,25,-1,0,46.48,3,0,false,false,english,none,normal,false,false,false,,1726940858000
66ef068666c51bbe14f0a87a,,28.32,86.62,39.15,65.14,102;10;2;0,words,25,-1,2,43.22,0,18.81,false,false,english,none,normal,false,false,false,,1726940806000
66ef060c66c51bbe14f0a332,,21.53,86.72,29.09,44.81,94;10;0;0,words,25,-1,0,52.39,5,0,false,false,english,none,normal,false,false,false,,1726940684000
66edb24366c51bbe14e3a231,,20.12,86.99,29.11,49.88,85;9;0;0,words,25,-1,0,50.7,3,48.61,false,false,english,none,normal,false,false,false,,1726853699000
66ec373b66c51bbe14d0135e,,29.42,93.13,35.09,60.47,109;5;0;0,words,25,-1,0,44.45,2,0,false,false,english,none,normal,false,false,false,,1726756667000
66ec370866c51bbe14d00f5f,true,31.45,96.92,35.24,61.25,116;2;0;0,words,25,-1,1,44.26,1,10.4,false,false,english,none,normal,false,false,false,,1726756616000
66ec24bf66c51bbe14ceb0df,,27.98,90.98,33.86,50.76,100;5;0;0,words,25,-1,2,42.88,2,7.34,false,false,english,none,normal,false,false,false,,1726751935000
66ebbe1f66c51bbe14ca0c2d,true,29.33,92.65,34.39,57.82,116;6;0;1,words,25,-1,1,47.46,2,1.87,false,false,english,none,normal,false,false,false,,1726725663000
66eb370b66c51bbe14c52a27,,23.09,82.48,33.88,56.29,92;11;2;5,quote,6493,1,0,47.82,1,0,false,false,english,none,normal,false,false,false,,1726691083000
66eb364066c51bbe14c520fd,,18.43,77.55,34.73,66.99,26;6;0;0,words,10,-1,0,16.93,0,0,false,false,english,none,normal,false,false,false,,1726690880000
66eb362b66c51bbe14c5202d,,14.58,80.36,26.74,41.43,30;7;0;0,words,10,-1,1,24.68,2,4.82,false,false,english,none,normal,false,false,false,,1726690859000
66eb2c1366c51bbe14c4a05a,,24.6,85.71,38.89,45.47,31;4;0;0,words,10,-1,2,15.12,0,7.72,false,false,english,none,normal,false,false,false,,1726688275000
66eb284d66c51bbe14c46c1a,,38.91,92.16,43.14,58.71,46;3;0;0,words,10,-1,0,14.19,0,0,false,false,english,none,normal,false,false,false,,1726687309000
66eb15b066c51bbe14c33fa4,true,50.94,100,50.94,68.5,50;0;0;0,words,10,-1,4,11.78,0,22.22,false,false,english,none,normal,false,false,false,,1726682544000
66eb156b66c51bbe14c33aa4,true,35.11,93.62,39.29,58.23,42;2;0;0,words,10,-1,2,14.35,0,6.95,false,false,english,none,normal,false,false,false,,1726682475000
66eb154e66c51bbe14c33889,,27.16,84.62,41.54,54.55,34;5;0;0,words,10,-1,3,15.02,0,67.2,false,false,english,none,normal,false,false,false,,1726682446000
66eb14db66c51bbe14c330d8,true,28.26,77.78,45.41,72.84,28;5;1;0,words,10,-1,0,11.89,0,0,false,false,english,none,normal,false,false,false,,1726682331000
66eb14aa66c51bbe14c32d65,true,18.54,83.46,26.61,48.65,179;19;2;0,words,50,-1,5,115.88,4,83.06,false,false,english,none,normal,false,false,false,,1726682282000
66eb12a666c51bbe14c306d4,true,21.58,79.17,38.37,55.56,27;4;2;0,time,15,-1,1,15.01,0,2.39,false,false,english,none,normal,false,false,false,,1726681766000
66eb126266c51bbe14c30214,true,27.99,84.57,36.39,57.83,140;11;3;1,time,60,-1,0,60.02,2,0,false,false,english,none,normal,false,false,false,,1726681698000
66eb11bb66c51bbe14c2f69e,,31.18,86.32,37.18,60.01,78;7;2;0,time,30,-1,0,30.02,1,0,false,false,english,none,normal,false,false,false,,1726681531000
66eb117c66c51bbe14c2f252,,34.4,92.71,38.4,64.47,86;4;1;1,time,30,-1,1,30,0,119.49,false,false,english,none,normal,false,false,false,,1726681468000
66eb107866c51bbe14c2e01d,,23.6,80.23,32.4,53.49,59;8;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1726681208000
66e9e0339f671a0853ef146b,true,35.2,91.84,37.6,65.62,88;2;1;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1726603315000
66e9d4799f671a0853ee6bfe,,31.2,91.3,35.6,57.99,78;2;1;0,time,30,-1,4,30,1,112.57,false,false,english,none,normal,false,false,false,,1726600313000
66e9d0a39f671a0853ee318e,true,35.18,94.85,37.57,66.43,88;1;0;0,time,30,-1,0,30.02,0,0,false,false,english,none,normal,false,false,false,,1726599331000
